episode,epsilon,training_outcome,num_transitions,replay_size,dqn_loss,eval_winrate_vs_original_M1,eval_winrate_vs_random,eval_avg_moves_vs_original_M1
1,0.8971666666666667,-1.0,6,6,,0.0,0.775,7.5
2,0.8943333333333333,-1.0,9,15,,,,
3,0.8915000000000001,-1.0,4,19,,,,
4,0.8886666666666667,-1.0,6,25,,,,
5,0.8858333333333334,-1.0,5,30,,,,
6,0.883,-1.0,6,36,,,,
7,0.8801666666666667,-1.0,4,40,,,,
8,0.8773333333333334,-1.0,6,46,,,,
9,0.8745,-1.0,3,49,,,,
10,0.8716666666666667,-1.0,4,53,,,,
11,0.8688333333333333,-1.0,8,61,,,,
12,0.866,-1.0,6,67,,,,
13,0.8631666666666666,-1.0,4,71,,,,
14,0.8603333333333334,-1.0,4,75,,,,
15,0.8575,-1.0,4,79,,,,
16,0.8546666666666667,-1.0,2,81,,,,
17,0.8518333333333333,-1.0,4,85,,,,
18,0.849,-1.0,10,95,,,,
19,0.8461666666666666,-1.0,3,98,,,,
20,0.8433333333333334,-1.0,7,105,,,,
21,0.8405,1.0,1,106,,,,
22,0.8376666666666667,-1.0,4,110,,,,
23,0.8348333333333333,-1.0,6,116,,,,
24,0.8320000000000001,-1.0,6,122,,,,
25,0.8291666666666666,-1.0,7,129,,0.0,0.85,7.5
26,0.8263333333333334,-1.0,5,134,,,,
27,0.8235,-1.0,5,139,,,,
28,0.8206666666666667,-1.0,9,148,,,,
29,0.8178333333333333,-1.0,3,151,,,,
30,0.8150000000000001,-1.0,2,153,,,,
31,0.8121666666666666,-1.0,4,157,,,,
32,0.8093333333333333,-1.0,5,162,,,,
33,0.8065,-1.0,1,163,,,,
34,0.8036666666666668,-1.0,7,170,,,,
35,0.8008333333333333,-1.0,2,172,,,,
36,0.798,-1.0,4,176,,,,
37,0.7951666666666667,-1.0,1,177,,,,
38,0.7923333333333333,-1.0,8,185,,,,
39,0.7895,-1.0,4,189,,,,
40,0.7866666666666667,-1.0,4,193,,,,
41,0.7838333333333333,-1.0,5,198,,,,
42,0.781,-1.0,4,202,,,,
43,0.7781666666666667,-1.0,4,206,,,,
44,0.7753333333333334,-1.0,5,211,,,,
45,0.7725,-1.0,5,216,,,,
46,0.7696666666666667,-1.0,3,219,,,,
47,0.7668333333333334,-1.0,5,224,,,,
48,0.764,-1.0,3,227,,,,
49,0.7611666666666667,-1.0,4,231,,,,
50,0.7583333333333334,-1.0,3,234,,0.0,0.725,7.5
51,0.7555,-1.0,6,240,,,,
52,0.7526666666666667,-1.0,8,248,,,,
53,0.7498333333333334,-1.0,6,254,,,,
54,0.747,-1.0,4,258,,,,
55,0.7441666666666666,-1.0,7,265,,,,
56,0.7413333333333334,-1.0,8,273,,,,
57,0.7385,-1.0,6,279,,,,
58,0.7356666666666667,-1.0,2,281,,,,
59,0.7328333333333333,-1.0,5,286,,,,
60,0.7300000000000001,-1.0,7,293,,,,
61,0.7271666666666666,-1.0,3,296,,,,
62,0.7243333333333334,-1.0,4,300,,,,
63,0.7215,-1.0,7,307,,,,
64,0.7186666666666667,-1.0,2,309,,,,
65,0.7158333333333333,-1.0,6,315,,,,
66,0.7130000000000001,-1.0,5,320,,,,
67,0.7101666666666666,-1.0,8,328,,,,
68,0.7073333333333334,-1.0,8,336,,,,
69,0.7045,-1.0,9,345,,,,
70,0.7016666666666668,-1.0,4,349,,,,
71,0.6988333333333333,-1.0,5,354,,,,
72,0.6960000000000001,-1.0,4,358,,,,
73,0.6931666666666667,-1.0,4,362,,,,
74,0.6903333333333334,-1.0,1,363,,,,
75,0.6875,-1.0,5,368,,0.0,0.775,7.5
76,0.6846666666666668,-1.0,5,373,,,,
77,0.6818333333333333,-1.0,4,377,,,,
78,0.679,1.0,1,378,,,,
79,0.6761666666666667,-1.0,1,379,,,,
80,0.6733333333333333,-1.0,1,380,,,,
81,0.6705,-1.0,1,381,,,,
82,0.6676666666666667,-1.0,9,390,,,,
83,0.6648333333333334,-1.0,3,393,,,,
84,0.662,-1.0,3,396,,,,
85,0.6591666666666667,-1.0,5,401,,,,
86,0.6563333333333334,-1.0,5,406,,,,
87,0.6535,-1.0,3,409,,,,
88,0.6506666666666667,-1.0,6,415,,,,
89,0.6478333333333334,-1.0,6,421,,,,
90,0.645,-1.0,10,431,,,,
91,0.6421666666666667,-1.0,8,439,,,,
92,0.6393333333333334,-1.0,6,445,,,,
93,0.6365,-1.0,5,450,,,,
